ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C088,Client 88,1,T016,GroupB,"{""vip"": false}"
C089,Client 89,4,T043,GroupA,"{""vip"": true}"
C090,Client 90,5,T045,GroupB,"{""vip"": true}"
C091,Client 91,3,T009,GroupB,"{""vip"": false}"
C092,Client 92,3,T043,GroupA,"{""vip"": true}"
C093,Client 93,1,T048,GroupA,"{""vip"": false}"
C094,Client 94,2,T031,GroupB,"{""vip"": false}"
C095,Client 95,1,T037,GroupB,"{""vip"": true}"
C096,Client 96,2,T044,GroupB,"{""vip"": false}"
C097,Client 97,4,T034,GroupA,"{""vip"": true}"
C098,Client 98,3,T013,GroupB,"{""vip"": true}"
C099,Client 99,2,T034,GroupA,"{""vip"": true}"
C100,Client 100,5,T012,GroupB,"{""vip"": true}"
C101,Client 101,5,T049,GroupA,"{""vip"": true}"
C102,Client 102,2,T050,GroupA,"{""vip"": true}"
C103,Client 103,5,T036,GroupA,"{""vip"": false}"
C104,Client 104,1,T012,GroupA,"{""vip"": false}"
C105,Client 105,1,T050,GroupA,"{""vip"": true}"
C106,Client 106,4,T024,GroupA,"{""vip"": true}"
C107,Client 107,1,T020,GroupA,"{""vip"": true}"
C108,Client 108,5,T021,GroupB,"{""vip"": true}"
C109,Client 109,3,T044,GroupA,"{""vip"": true}"
C110,Client 110,5,T014,GroupA,"{""vip"": false}"
C111,Client 111,1,T039,GroupA,"{""vip"": false}"
C112,Client 112,2,T008,GroupA,"{""vip"": true}"
C113,Client 113,3,T005,GroupA,"{""vip"": false}"
C114,Client 114,2,T009,GroupA,"{""vip"": true}"
C115,Client 115,3,T032,GroupA,"{""vip"": true}"
C116,Client 116,2,T033,GroupA,"{""vip"": true}"
C117,Client 117,3,T026,GroupA,"{""vip"": true}"
C118,Client 118,4,T022,GroupA,"{""vip"": false}"
C119,Client 119,4,T022,GroupA,"{""vip"": false}"
C120,Client 120,4,T042,GroupB,"{""vip"": false}"
C121,Client 121,2,T041,GroupA,"{""vip"": false}"
C122,Client 122,5,T008,GroupA,"{""vip"": false}"
C123,Client 123,3,T030,GroupB,"{""vip"": false}"
C124,Client 124,5,T008,GroupB,"{""vip"": false}"
C125,Client 125,4,T004,GroupA,"{""vip"": true}"
C126,Client 126,3,T041,GroupB,"{""vip"": true}"
C127,Client 127,4,T020,GroupA,"{""vip"": false}"
C128,Client 128,2,T019,GroupB,"{""vip"": false}"
C129,Client 129,4,T033,GroupB,"{""vip"": true}"
C130,Client 130,4,T003,GroupB,"{""vip"": true}"
C131,Client 131,5,T032,GroupB,"{""vip"": true}"
C132,Client 132,2,T020,GroupB,"{""vip"": false}"
C133,Client 133,5,T033,GroupB,"{""vip"": true}"
C134,Client 134,2,T029,GroupB,"{""vip"": true}"
C135,Client 135,5,T042,GroupA,"{""vip"": true}"
C136,Client 136,1,T015,GroupB,"{""vip"": false}"
C137,Client 137,4,T009,GroupB,"{""vip"": false}"
C138,Client 138,1,T001,GroupB,"{""vip"": true}"
C139,Client 139,2,T010,GroupB,"{""vip"": true}"
C140,Client 140,4,T001,GroupA,"{""vip"": true}"
C141,Client 141,2,T044,GroupB,"{""vip"": false}"
C142,Client 142,1,T016,GroupA,"{""vip"": true}"
C143,Client 143,3,T027,GroupB,"{""vip"": true}"
C144,Client 144,3,T047,GroupB,"{""vip"": false}"
C145,Client 145,4,T006,GroupA,"{""vip"": false}"
C146,Client 146,3,T045,GroupB,"{""vip"": true}"
C147,Client 147,2,T027,GroupA,"{""vip"": true}"
C148,Client 148,3,T034,GroupB,"{""vip"": false}"
C149,Client 149,4,T012,GroupA,"{""vip"": true}"
C150,Client 150,5,T014,GroupB,"{""vip"": false}"
C151,Client 151,3,T015,GroupA,"{""vip"": false}"
C152,Client 152,1,T006,GroupA,"{""vip"": false}"
C153,Client 153,2,T019,GroupB,"{""vip"": true}"
C154,Client 154,2,T024,GroupA,"{""vip"": true}"
C155,Client 155,3,T025,GroupB,"{""vip"": false}"
C156,Client 156,5,T036,GroupA,"{""vip"": true}"
C157,Client 157,4,T007,GroupB,"{""vip"": true}"
C158,Client 158,3,T006,GroupB,"{""vip"": true}"
C159,Client 159,4,T047,GroupB,"{""vip"": false}"
C160,Client 160,3,T034,GroupB,"{""vip"": false}"
C161,Client 161,5,T040,GroupA,"{""vip"": true}"
C162,Client 162,3,T030,GroupB,"{""vip"": false}"
C163,Client 163,1,T026,GroupA,"{""vip"": false}"
C164,Client 164,3,T015,GroupA,"{""vip"": true}"
C165,Client 165,5,T034,GroupB,"{""vip"": false}"
C166,Client 166,5,T027,GroupA,"{""vip"": true}"
C167,Client 167,2,T047,GroupA,"{""vip"": true}"
C168,Client 168,3,T007,GroupA,"{""vip"": false}"
C169,Client 169,5,T028,GroupA,"{""vip"": true}"
C170,Client 170,5,T014,GroupB,"{""vip"": true}"
C171,Client 171,3,T010,GroupA,"{""vip"": true}"
C172,Client 172,2,T017,GroupB,"{""vip"": true}"
C173,Client 173,5,T021,GroupA,"{""vip"": true}"
C174,Client 174,2,T001,GroupA,"{""vip"": true}"
C175,Client 175,5,T007,GroupB,"{""vip"": false}"
C176,Client 176,1,T033,GroupB,"{""vip"": true}"
C177,Client 177,4,T021,GroupB,"{""vip"": true}"
C178,Client 178,2,T011,GroupB,"{""vip"": true}"
C179,Client 179,4,T028,GroupA,"{""vip"": false}"
C180,Client 180,1,T002,GroupA,"{""vip"": false}"
C181,Client 181,3,T040,GroupB,"{""vip"": true}"
C182,Client 182,2,T025,GroupB,"{""vip"": false}"
C183,Client 183,2,T033,GroupA,"{""vip"": false}"
C184,Client 184,3,T014,GroupB,"{""vip"": true}"
C185,Client 185,1,T004,GroupA,"{""vip"": true}"
C186,Client 186,3,T019,GroupA,"{""vip"": true}"
C187,Client 187,4,T034,GroupA,"{""vip"": true}"
C188,Client 188,3,T039,GroupA,"{""vip"": false}"
C189,Client 189,1,T046,GroupA,"{""vip"": true}"
C190,Client 190,3,T044,GroupB,"{""vip"": false}"
C191,Client 191,3,T004,GroupB,"{""vip"": false}"
C192,Client 192,5,T036,GroupA,"{""vip"": false}"
C193,Client 193,4,T023,GroupA,"{""vip"": false}"
C194,Client 194,3,T050,GroupB,"{""vip"": true}"
C195,Client 195,1,T029,GroupA,"{""vip"": true}"
C196,Client 196,1,T011,GroupB,"{""vip"": true}"
C197,Client 197,3,T021,GroupB,"{""vip"": true}"
C198,Client 198,2,T024,GroupB,"{""vip"": true}"
C199,Client 199,5,T021,GroupA,"{""vip"": false}"
C200,Client 200,4,T029,GroupA,"{""vip"": false}"
